Batch 1
EO-095 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-096 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-097 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-098 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-099 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-100 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-101 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-102 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-103 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-104 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-105 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-106 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-107 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-108 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-109 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-110 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-111 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-112 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-113 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-114 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-115 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-116 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-117 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-118 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-119 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-120 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-121 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-122 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-123 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-124 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-125 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-126 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-127 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-128 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-129 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-130 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-131 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-132 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-133 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-134 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-135 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-136 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-137 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-138 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-139 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-140 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-141 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-142 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-143 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-144 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-145 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-146 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-147 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-148 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-149 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-150 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-151 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-152 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-153 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-154 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-155 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-156 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-157 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-158 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-159 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-160 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-161 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-162 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-163 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-164 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-165 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-166 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-167 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-168 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-169 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-170 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-171 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-172 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-173 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-174 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-175 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-176 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-177 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-178 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-179 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-180 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-181 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-182 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-183 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-184 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-185 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-186 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-187 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-188 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-189 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-190 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-191 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-192 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-193 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-194 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-195 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-196 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-197 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-198 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-199 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-200 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
Clustering complete.
